Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
7,LSU,SEC (West),13,8,4,2.68,13.25,15.93,79.60,-36.08,13.41,0.64,10.82,-1.46,11.37,0.03
8,Penn State,Big Ten (East),7,11,3,11.63,4.09,15.72,87.46,-22.37,15.08,1.14,9.15,-0.37,11.17,0.90
9,Wisconsin,Big Ten (West),9,11,3,2.13,13.17,15.30,78.74,-32.10,13.54,1.15,8.81,-0.90,9.99,0.69
10,Florida State,ACC (Atlantic),8,10,3,9.49,5.52,15.01,86.38,-26.13,14.07,1.34,9.88,-0.71,11.22,0.73
11,Oklahoma,Big 12,5,11,2,14.64,0.34,14.98,92.54,-20.59,16.42,1.58,9.57,0.50,11.98,1.51
12,Miami (FL),ACC (Coastal),20,9,4,3.39,9.96,13.36,82.99,-29.58,13.75,0.37,9.03,-0.98,10.82,0.28
13,Stanford,Pac-12 (North),12,10,3,0.01,12.54,12.54,73.09,-29.29,12.22,1.18,9.33,-0.15,10.03,0.92
14,Colorado,Pac-12 (South),17,10,4,2.32,9.86,12.18,79.41,-28.17,13.12,0.03,8.33,-0.20,9.90,0.39
15,Western Michigan,MAC (West),15,13,1,7.61,4.42,12.03,86.24,-22.05,14.49,2.21,9.21,0.77,10.73,1.93
16,Auburn,SEC (West),24,8,5,-1.04,13.02,11.97,81.80,-33.41,13.42,0.59,10.02,-0.87,10.69,0.42
17,Louisville,ACC (Atlantic),21,9,4,8.81,3.06,11.87,92.04,-22.20,14.05,1.41,10.77,-0.95,11.68,0.60
18,Oklahoma State,Big 12,11,10,3,8.39,2.77,11.16,85.39,-23.07,14.64,1.79,8.66,0.59,11.08,1.46
19,Virginia Tech,ACC (Coastal),16,10,4,4.26,6.74,11.00,82.68,-26.80,13.57,0.47,8.37,-0.51,10.02,0.45
20,Florida,SEC (East),14,9,4,-2.62,13.60,10.98,74.40,-31.15,12.53,0.28,8.16,-0.70,9.71,0.14
21,Tennessee,SEC (East),22,9,4,11.58,-0.99,10.59,88.42,-17.67,14.16,1.64,9.88,0.66,11.19,1.58
22,West Virginia,Big 12,18,10,3,4.01,5.56,9.57,78.75,-26.00,13.69,1.20,9.33,0.18,10.77,1.04
23,Washington State,Pac-12 (North),30,8,5,5.70,3.33,9.03,84.22,-21.44,12.72,2.45,8.50,0.07,10.41,1.82
24,Temple,American (East),30,10,4,2.00,6.96,8.97,78.15,-26.73,13.67,0.92,8.60,-0.50,10.19,0.61
25,Appalachian State,Sun Belt,30,10,3,-0.86,9.68,8.83,70.76,-25.81,11.91,0.77,9.79,0.20,10.15,1.05
26,Texas A&M,SEC (West),30,8,5,5.40,3.37,8.77,84.98,-23.89,12.69,1.54,10.28,-0.10,10.89,1.10
27,Western Kentucky,CUSA (East),30,11,3,6.84,1.84,8.68,88.81,-20.99,14.91,1.88,9.58,-1.18,11.72,0.96
28,Minnesota,Big Ten (West),30,9,4,4.00,4.65,8.65,76.61,-23.84,12.24,1.05,8.37,-0.74,9.40,0.74
29,Utah,Pac-12 (South),23,9,4,3.31,5.35,8.65,75.34,-23.91,12.57,1.66,8.97,-0.15,10.02,1.33
