School,AP Rank,W,L,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Total Plays,Total Yds,Total Avg,FstD Pass,FstD Rush,FstD Pen,FstD Tot,Pen No,Pen Yds,Fum,Int,Tot Turn,SOS
Bama,1,12,1,5.6,1.8,17.3,103.7,0.7,9.4,142.3,3.1,2.4,11.1,246.0,3.2,5.6,5.9,0.0,11.4,-0.7,-3.3,-0.2,-0.4,-0.6,17
Oregon,4,12,2,-5.5,-10.2,1.9,-23.7,1.0,5.8,156.4,3.1,2.0,-4.4,132.7,2.1,-2.0,5.4,-0.7,2.6,0.9,13.4,0.0,-0.7,-0.7,27
USC,6,10,2,1.5,-0.8,5.2,30.9,1.9,1.9,51.2,1.4,-0.4,1.1,82.0,1.1,-1.3,3.0,1.3,3.0,-1.4,-11.2,0.2,-0.2,0.1,23
Houston,18,13,1,15.8,15.2,15.2,241.4,2.5,-11.1,-22.6,0.8,1.1,4.1,218.8,2.5,9.0,-1.2,0.3,8.2,-0.2,-2.2,-0.1,-1.1,-1.1,104
Texas,30,8,5,-3.9,-7.6,1.4,-19.9,0.2,13.8,106.4,1.4,0.6,6.3,86.4,0.8,-2.4,5.7,-0.9,2.5,1.2,6.1,-0.3,0.3,0.0,6
FSU,23,9,4,0.8,-1.3,5.4,64.7,0.7,-1.6,29.5,1.0,0.9,-3.0,94.2,1.7,1.8,1.6,-0.3,3.1,2.1,19.8,0.0,-0.3,-0.3,57
